"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"119","Lower Boreal Highlands",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"120","Upper Boreal Highlands",32,1,1,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"121","Athabasca Plain",33,2088,2038.95424397115,0.9,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"122","Central Mixedwood",33,5394,5308.05501143187,0.6,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"123","Lower Boreal Highlands",33,5,5,0,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"124","Upper Boreal Highlands",33,1,0,0,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"125","Athabasca Plain",34,3904,3861.03928041062,1.7,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"126","Central Mixedwood",34,37619,37450.7194401651,3.9,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"127","Lower Boreal Highlands",34,30,30,0,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"128","Upper Boreal Highlands",34,55,55,0,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"129","Athabasca Plain",35,526,510.646889846772,0.2,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"130","Central Mixedwood",35,3537,3516.93451098725,0.4,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"131","Lower Boreal Highlands",35,300,295.415969740599,0.4,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"132","Upper Boreal Highlands",35,112,108.584030201659,0.1,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"133","Athabasca Plain",39,10657,10581.7011760697,4.6,39,"Lake",0,"#3649F9","39_Lake"
"134","Central Mixedwood",39,14360,14292.0189143653,1.5,39,"Lake",0,"#3649F9","39_Lake"
"135","Lower Boreal Highlands",39,862,842.086668653414,1,39,"Lake",0,"#3649F9","39_Lake"
"136","Upper Boreal Highlands",39,2142,2127.83202989399,1.7,39,"Lake",0,"#3649F9","39_Lake"
"137","Athabasca Plain",43,6,6,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"138","Central Mixedwood",43,76157,76077.8029670864,7.9,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"139","Lower Boreal Highlands",43,7,5.53449004888535,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"140","Upper Boreal Highlands",43,30,28.4655099043048,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
